Joshua Joseph Wilson	Labour	4.529791799796245
Andrew Stephen Brooker	Conservative	0.32259282186568444
Francyne Edith Johnson	Labour	3.8781390048046824
Tim Lewis	Liberal Democrats	0.39344868468843164
William Pitt	The Yorkshire Party	0.3598052452268099
Graeme Boyd Waddicar	UKIP	0.6125799732954511
David Willington	Green Party	0.20921323681579357
Rebecca Rachael Louise Atkinson	Liberal Democrats	0.3691492900554009
Jack Bannan	The Yorkshire Party	0.18101186757004203
Ann Butler	Women's Equality Party	3.2944573855209116
Matthew Fender	Conservative	0.32176099664813423
Neale Gibson	Labour	0.38667161035395725
Bernard James Little	Green Party	0.3743547857395774
Victoria Judith Wainwright	TUSC	0.36413202593257477
Mike Levery	Liberal Democrats	0.21986907271508313
Kevin John Mahoney	Conservative	4.583897865144996
Dave Ogle	Independent	0.2616415614849492
Jemima Alice Perry	Green Party	1.3266475055281337
Zoe Sykes	Labour	0.07935607168168035
William James Blyth	Conservative	6.013189141845934
John Francis Grant	Green Party	0.14184598310564187
Chris Tosseano	Liberal Democrats	6.185779113995316
Paul Wood	Labour	0.020510425826146816
