Shiregreen & Brightside	-1.4373178665776798	53.4237580606302
Shiregreen & Brightside	-1.443967131680829	53.43550008635541
Shiregreen & Brightside	-1.4489538935590422	53.426400046577264
Walkley	-1.512140691255904	53.3922162542549
Walkley	-1.5065223312943843	53.39201843127023
Walkley	-1.5114201594719059	53.39821693660016
Nether Edge & Sharrow	-1.4911617267565846	53.36755387480997
Nether Edge & Sharrow	-1.4977765989166512	53.36446733905898
Nether Edge & Sharrow	-1.486554576120329	53.36316872974013
Beauchief & Greenhill	-1.4810578780769044	53.33583349160648
Beauchief & Greenhill	-1.5014935446427022	53.336317963635445
Beauchief & Greenhill	-1.4909428951593338	53.328193656671296
City	-1.4737153974087702	53.37557701172965
City	-1.4738636640045841	53.3754620391332
City	-1.4667426276396538	53.378779069560295
Stannington	-1.583445595025503	53.40231531690184
Stannington	-1.6295218213487128	53.39536963423106
Stannington	-1.5478062689277443	53.421891566821614
Fulwood	-1.588734699683827	53.37544420786901
Fulwood	-1.520511726356139	53.36628265781409
Fulwood	-1.5571993691174306	53.361580292243794
Hillsborough	-1.5015834328243474	53.39862665701222
Hillsborough	-1.5019511464815523	53.40835803093429
Hillsborough	-1.5029761946198532	53.40526037421372
Richmond	-1.3943989623320932	53.36551353646186
Richmond	-1.3871890862940666	53.359336171591444
Richmond	-1.3940985959705257	53.36069483087069
Stocksbridge & Upper Don	-1.6353277036757181	53.43353288435921
Stocksbridge & Upper Don	-1.6366211728387488	53.43727036198059
Stocksbridge & Upper Don	-1.6559126168109775	53.46029023466173
Darnall	-1.4212650458409684	53.40238506458163
Darnall	-1.3971454755026158	53.40569310952434
Darnall	-1.4289846690124406	53.4009455212342
Birley	-1.4028230436014588	53.34762666944196
Birley	-1.4212396880573117	53.348024990517125
Birley	-1.4125917024074184	53.34724012356512
Mosborough	-1.3755047494333013	53.32638708963564
Mosborough	-1.3572180746695317	53.329345320737865
Mosborough	-1.3687101472628982	53.32543315659916
East Ecclesfield	-1.4669139895141816	53.433934251887706
East Ecclesfield	-1.4710386732769993	53.44410796279695
East Ecclesfield	-1.476739565553384	53.45879722252861
Firth Park	-1.4666296968829877	53.427929012881016
Firth Park	-1.4690883966068917	53.42824148406721
Firth Park	-1.45253467915113	53.42437952755514
Broomhill & Sharrow Vale	-1.4878238708658575	53.37239670679273
Broomhill & Sharrow Vale	-1.489882547292459	53.37295260579999
Broomhill & Sharrow Vale	-1.5071519979568937	53.374542179717906
Dore & Totley	-1.538846525170453	53.31900262853051
Dore & Totley	-1.524084677770177	53.34033712757705
Dore & Totley	-1.524619226366973	53.32161852822767
Crookes & Crosspool	-1.5031170684654365	53.388221682811604
Crookes & Crosspool	-1.5158192774474177	53.380200787890054
Crookes & Crosspool	-1.523060889524434	53.38393668526074
Gleadless Valley	-1.4538598884819873	53.346372022373004
Gleadless Valley	-1.4487212400186793	53.34990426277208
Gleadless Valley	-1.4719672187959578	53.35067165517798
Woodhouse	-1.3889514131159821	53.36842459408987
Woodhouse	-1.3798449852930756	53.36519859871237
Woodhouse	-1.381882965720626	53.36360529885453
Southey	-1.4869936154549512	53.42849273190111
Southey	-1.4934305961444796	53.42713496460467
Southey	-1.4831775764366901	53.42566817709163
Ecclesall	-1.5297602613368537	53.33342051377826
Ecclesall	-1.5284841164491887	53.342088837059435
Ecclesall	-1.5171338444195002	53.34384597743713
Park & Arbourthorne	-1.4484895859925302	53.35985374319743
Park & Arbourthorne	-1.4324631078212349	53.355070521383105
Park & Arbourthorne	-1.4298684225391565	53.348262956908314
Manor Castle	-1.4302627056355763	53.37469454314206
Manor Castle	-1.445928033407994	53.37618496967681
Manor Castle	-1.4166952722003658	53.366882071990794
Graves Park	-1.4775562129840931	53.3423860488849
Graves Park	-1.4735056139472258	53.35007100325843
Graves Park	-1.4727008401508357	53.34454072661273
Beighton	-1.3734909227220706	53.34247196097672
Beighton	-1.3587553628067426	53.33699617679323
Beighton	-1.3537006844951298	53.33912496739879
Burngreave	-1.4590206766122409	53.40656781818708
Burngreave	-1.4494703653908492	53.40452834086813
Burngreave	-1.4652769568111854	53.40419259179529
West Ecclesfield	-1.4915655468925442	53.46085050551917
West Ecclesfield	-1.4950403002663848	53.454961358785965
West Ecclesfield	-1.5066369425726756	53.44367938651114
